name, version, version_created, version_downloads, homepage, dependencies
sportdb-exporters, 0.0.1, 2020-09-21, 1534, https://github.com/sportdb/sport.db, 
date-formats, 1.0.2, 2020-09-15, 2727, https://github.com/sportdb/sport.db, 
fifa, 2020.9.15, 2020-09-15, 2552, https://github.com/sportdb/football.db, sportdb-formats
footballdb-clubs, 2020.9.15, 2020-09-15, 2542, https://github.com/sportdb/football.db, fifa | sportdb-formats
footballdb-leagues, 2020.9.15, 2020-09-15, 2530, https://github.com/sportdb/football.db, fifa | sportdb-formats
score-formats, 0.1.1, 2020-09-15, 2483, https://github.com/sportdb/sport.db, 
gitti-backup, 0.4.1, 2020-09-06, 2162, https://github.com/rubycoco/gitti, gitti
sports, 0.1.1, 2020-08-24, 1446, https://github.com/sportdb/sport.db, sportdb-formats
football, 0.1.0, 2020-08-17, 1533, https://github.com/sportdb/sport.db, sports
sport, 0.1.1, 2020-08-17, 1437, https://github.com/sportdb/sport.db, sports
sportdb-catalogs, 1.0.0, 2020-08-01, 2475, https://github.com/sportdb/sport.db, fifa | footballdb-clubs | footballdb-leagues | sportdb-formats
sportdb-langs, 0.1.1, 2020-08-01, 2508, https://github.com/sportdb/sport.db, logutils
sportdb-readers, 1.1.2, 2020-08-01, 2432, https://github.com/sportdb/sport.db, sportdb-sync
sportdb-config, 1.1.1, 2020-07-07, 1516, https://github.com/sportdb/sport.db, fifa | footballdb-clubs | footballdb-leagues | sportdb-formats
feedparser, 2.2.0, 2020-05-29, 68590, https://github.com/feedparser/feedparser, logutils | textutils
worlddb-models, 2.4.1, 2020-05-19, 2756, https://github.com/worlddb/world.db, activerecord | activerecord-utils | logutils | logutils-activerecord | props | props-activerecord | rubyzip | tagutils | textutils
alphabets, 1.0.0, 2020-05-10, 3117, https://github.com/sportdb/sport.db, 
pluto-feedfetcher, 0.1.6, 2020-03-26, 71146, https://github.com/feedreader/pluto, fetcher | pluto-models
opmlparser, 1.0.1, 2020-03-25, 69548, https://github.com/feedreader/pluto, 
pluto-models, 1.6.2, 2020-03-10, 69623, https://github.com/feedreader/pluto, activerecord | activerecord-utils | activityutils | date-formatter | feedfilter | feedparser | logutils | logutils-activerecord | props | props-activerecord | textutils
pluto-update, 1.6.4, 2020-03-10, 69600, https://github.com/feedreader/pluto, opmlparser | pluto-feedfetcher | pluto-models
barcharts, 0.1.0, 2020-03-06, 2153, https://github.com/feedreader/pluto, 
feedchecker, 0.0.1, 2020-03-02, 1854, https://github.com/feedreader/pluto, 
newsbase, 0.0.1, 2020-03-02, 1800, https://github.com/feedreader/pluto, 
newscast, 1.1.1, 2020-03-02, 1805, https://github.com/feedreader/pluto, pluto-models | pluto-update | sqlite3
pluto-news, 1.1.1, 2020-02-27, 1883, https://github.com/feedreader/pluto, pluto-models | pluto-update | sqlite3
iniparser, 1.0.1, 2020-02-24, 201296, https://github.com/datatxt/iniparser, 
newsweek, 0.0.1, 2020-02-24, 1816, https://github.com/feedreader/planets, 
version-check, 0.1.0, 2020-02-24, 1788, https://github.com/feedreader/pluto, 
rubynews, 0.1.1, 2020-02-21, 1887, https://github.com/planetruby/planet, pluto-news | whatson
pandoc, 0.0.1, 2020-02-18, 2991, https://github.com/texti/pandoc, 
date-formatter, 0.1.1, 2020-02-16, 84256, https://github.com/feedreader/pluto, 
html-template, 1.0.0, 2020-02-16, 1879, https://github.com/feedreader/pluto, 
activerecord-utils, 0.4.1, 2020-02-01, 85712, https://github.com/rubycoco/activerecord-utils, activerecord | logutils
activityutils, 0.1.2, 2020-02-01, 84493, https://github.com/rubycoco/activityutils, logutils
pluto, 1.3.4, 2020-02-01, 83556, https://github.com/feedreader/pluto, gli | pluto-merge | pluto-models | pluto-tasks | pluto-update | sqlite3
datafile, 0.3.1, 2019-11-24, 2900, https://github.com/rubylibs/datafile, fetcher | logutils
wikiscript, 0.3.2, 2019-09-22, 2173, https://github.com/wikiscript/wikiscript, fetcher | logutils
typesig, 0.0.1, 2019-04-21, 2480, https://github.com/s6ruby/typesig, 
typesigs, 0.0.1, 2019-04-21, 2467, https://github.com/s6ruby/typesig, enums | safebool | typesig
bitcoin-script, 0.0.2, 2019-04-13, 1955, https://github.com/openblockchains/programming-bitcoin-script, 
records, 1.0.0, 2019-04-13, 1695, https://github.com/s6ruby/records, 
pragmas, 0.0.1, 2019-04-10, 1702, https://github.com/s6ruby/pragmas, 
michelson, 0.1.2, 2019-04-09, 1703, https://github.com/s6ruby/ruby-to-michelson, 
safebool, 1.2.0, 2019-04-05, 60415, https://github.com/s6ruby/safebool, 
enums, 1.4.0, 2019-03-31, 1903, https://github.com/s6ruby/enums, 
safedata, 0.0.1, 2019-03-24, 1671, https://github.com/s6ruby/safedata, enums
safemath, 0.0.1, 2019-03-23, 1722, https://github.com/s6ruby/safemath, 
safestruct, 1.3.0, 2019-03-23, 1735, https://github.com/s6ruby/safestruct, enums
universum, 0.5.1, 2019-03-22, 1676, https://github.com/s6ruby/universum, safestruct | units-money | units-time
units-time, 1.1.0, 2019-03-17, 1720, https://github.com/s6ruby/units-time, 
units-money, 0.1.1, 2019-03-10, 1685, https://github.com/s6ruby/units-money, 
slideshow, 4.1.0, 2019-02-21, 2184, https://github.com/slideshow-s9/slideshow, gli | slideshow-models
slideshow-models, 4.1.0, 2019-02-21, 2399, https://github.com/slideshow-s9/slideshow, activesupport | kramdown | kramdown-parser-gfm | logutils | pakman | props | textutils
copycats, 0.8.1, 2018-12-22, 2117, https://github.com/cryptocopycats/copycats, activerecord | base32-alphabets | csvreader | sqlite3
csvjson, 1.0.1, 2018-11-26, 149801, https://github.com/csvreader/csvjson, 
csvyaml, 1.0.0, 2018-11-26, 149562, https://github.com/csvreader/csvyaml, 
csvutils, 0.3.0, 2018-11-25, 1955, https://github.com/csvreader/csvutils, csvreader
tabreader, 1.0.1, 2018-11-24, 149332, https://github.com/csv11/tabreader, 
csvhuman, 1.1.1, 2018-11-18, 1940, https://github.com/csvreader/csvhuman, csvreader
csvrecord, 0.4.3, 2018-11-03, 6032, https://github.com/csvreader/csvrecord, csvreader | record
record, 1.2.0, 2018-11-03, 6290, https://github.com/rubycoco/record, 
typeconv, 0.0.1, 2018-10-17, 1725, https://github.com/rubycoco/typeconv, 
kramdown-service, 1.0.0, 2018-09-21, 1844, https://github.com/writekit/kramdown-service, kramdown | rouge | sinatra
csvpack, 0.2.0, 2018-08-08, 2068, https://github.com/csv11/csvpack, activerecord | fetcher | logutils
csv11, 0.0.3, 2018-08-04, 2171, https://github.com/csv11/csv11, 
sportweb, 0.3.3, 2018-06-29, 1843, https://github.com/sportdb/sport.db.web, actionpack | actionview | activejob | activemodel | activerecord | activerecord-utils | activesupport | arel | builder | concurrent-ruby | crass | datafile | erubi | fetcher | ffi | globalid | i18n | iniparser | jquery-rails | logutils | logutils-activerecord | loofah | method_source | mini_portile2 | minitest | mustermann | nokogiri | persondb-models | props | props-activerecord | puma | rack | rack-protection | rack-test | rails-dom-testing | rails-html-sanitizer | railties | rake | rb-fsevent | rb-inotify | rubyzip | sass | sass-listen | sass-rails | sinatra | sportdb-admin | sportdb-models | sprockets | sprockets-rails | sqlite3 | tagutils | textutils | thor | thread_safe | tilt | tzinfo | tzinfo-data | worlddb-flags | worlddb-models
feedfinder, 0.2.0, 2018-06-09, 1908, https://github.com/feedparser/feedfinder, textutils
shilling, 0.2.0, 2018-04-03, 1874, https://github.com/bitshilling/bitshilling.tools, blockchain-lite | ledger-lite | sass | sinatra
bitcat, 0.1.0, 2018-03-24, 2130, https://github.com/openblockchains/bitcat, copycats | sass | sinatra
fizzbuzzer, 1.1.1, 2018-01-28, 2019, https://github.com/rubylibs/fizzbuzzer, dry-matcher | noaidi
ledger-lite, 1.1.1, 2018-01-09, 2060, https://github.com/openblockchains/ledger.lite.rb, 
p2p, 0.0.1, 2018-01-07, 2333, https://github.com/openblockchains/peer-to-peer.rb, 
tulipmania, 0.2.0, 2017-12-25, 1918, https://github.com/openblockchains/tulipmania, blockchain-lite | sass | sinatra
almost-sinatra, 1.0.0, 2017-12-05, 2359, https://github.com/rubylibs/almost-sinatra, rack | tilt
pakman, 1.1.0, 2017-11-27, 87864, https://github.com/rubylibs/pakman, fetcher | liquid | logutils
webservice, 0.7.0, 2017-09-10, 2835, https://github.com/rubylibs/webservice, logutils | mustermann | rack
